% Model,SimulationA.mph
% Version,COMSOL 6.1.0.357
% Date,"Dec 9 2023, 17:56"
% Table,Evaluation Group 1 - 
% Time (s),es.Q0_2/es.V0_2 (F),"Displacement field, X-component (µm), Point: 292"
0.00133,NaN,-6.0118597492975834E-5
0.00134,NaN,-5.606843249961476E-5
0.00135,NaN,-5.201826750625371E-5
0.00136,NaN,-4.796810251289265E-5
0.0013700000000000001,NaN,-4.391793751953159E-5
0.0013800000000000002,NaN,-3.986777252617054E-5
0.0013900000000000002,NaN,-3.5817607532809474E-5
0.0014000000000000002,NaN,-3.1767442539448415E-5
0.00141,NaN,-2.8969874559658355E-5
0.00142,NaN,-2.790985152012895E-5
0.00143,NaN,-2.684982848059955E-5
0.00144,NaN,-2.5789805441070146E-5
0.0014500000000000001,NaN,-2.472978240154075E-5
0.0014600000000000001,NaN,-2.366975936201135E-5
0.0014700000000000002,NaN,-2.2609736322481946E-5
0.0014800000000000002,NaN,-2.1549713282952546E-5
0.0014900000000000002,NaN,-2.0489690243423148E-5
0.0015,NaN,-1.942966720389377E-5
0.00151,NaN,-1.836964416436437E-5
0.00152,NaN,-1.730962112483497E-5
0.0015300000000000001,NaN,-1.6249598085305565E-5
0.0015400000000000001,NaN,-1.5189575045776164E-5
0.0015500000000000002,NaN,-1.4129552006246764E-5
0.0015600000000000002,NaN,-1.3069528966717363E-5
0.0015700000000000002,NaN,-1.2009505927187964E-5
0.00158,NaN,-1.0949482887658585E-5
0.00159,NaN,-9.889459848129184E-6
0.0016,NaN,-8.829436808599783E-6
0.00161,NaN,-8.071418304657373E-6
0.0016200000000000001,NaN,-7.73232659605277E-6
0.0016300000000000002,NaN,-7.3932348874481675E-6
0.0016400000000000002,NaN,-7.054143178843564E-6
0.0016500000000000002,NaN,-6.715051470238962E-6
0.0016600000000000002,NaN,-6.3759597616343596E-6
0.00167,NaN,-6.036868053029764E-6
0.00168,NaN,-5.697776344425161E-6
0.00169,NaN,-5.3586846358205576E-6
0.0017000000000000001,NaN,-5.019592927215956E-6
0.0017100000000000001,NaN,-4.680501218611353E-6
0.0017200000000000002,NaN,-4.3414095100067505E-6
0.0017300000000000002,NaN,-4.002317801402147E-6
0.0017400000000000002,NaN,-3.6632260927975443E-6
0.00175,NaN,-3.324134384192949E-6
0.00176,NaN,-2.9850426755883462E-6
0.00177,NaN,-2.645950966983744E-6
0.0017800000000000001,NaN,-2.306859258379141E-6
0.0017900000000000001,NaN,-1.967767549774538E-6
0.0018000000000000002,NaN,-1.6286758411699352E-6
0.0018100000000000002,NaN,-1.4336686073891486E-6
0.0018200000000000002,NaN,-1.438528727184867E-6
0.0018300000000000002,NaN,-1.4433888469805857E-6
0.00184,NaN,-1.4482489667763043E-6
0.00185,NaN,-1.4531090865720228E-6
0.00186,NaN,-1.4579692063677414E-6
0.0018700000000000001,NaN,-1.46282932616346E-6
0.0018800000000000002,NaN,-1.4676894459591785E-6
0.0018900000000000002,NaN,-1.4725495657548971E-6
0.0019000000000000002,NaN,-1.4774096855506156E-6
0.0019100000000000002,NaN,-1.4822698053463342E-6
0.0019200000000000003,NaN,-1.4871299251420529E-6
0.00193,NaN,-1.4919900449377713E-6
0.00194,NaN,-1.49685016473349E-6
0.0019500000000000001,NaN,-1.5017102845292086E-6
0.0019600000000000004,NaN,-1.5065704043249272E-6
0.00197,NaN,-1.5114305241206457E-6
0.00198,NaN,-1.5162906439163643E-6
0.00199,NaN,-1.5211507637120828E-6
0.002,NaN,-1.5260108835078014E-6
