# overetch,offset,thickness,sensitivity 
0.115367,0.294553,29.798350,0.004483
0.469045,0.488919,30.643177,0.004439
0.280282,0.403736,30.646039,0.004542
0.198068,0.201400,29.558541,0.004996
0.120642,-0.087490,30.573322,0.004474
0.328776,0.061452,29.473085,0.004338
0.114224,0.455542,30.734249,0.004507
0.263254,-0.481006,29.830903,0.004579
0.463620,-0.111950,29.695073,0.004582
0.379010,-0.206455,29.996321,0.004380
0.373311,-0.382595,29.012395,0.004413
0.340402,-0.374359,30.518916,0.004552
0.198839,0.003840,29.580683,0.004573
0.485220,0.276631,29.191990,0.004374
0.475435,-0.277120,29.534199,0.005007
0.142617,-0.167016,29.147953,0.004491
0.360600,-0.286030,30.928891,0.004578
0.128534,0.199827,30.803822,0.004386
0.153662,0.094454,30.506459,0.004469
0.441253,-0.127186,30.005262,0.004448
0.219478,-0.242689,30.550895,0.004422
0.387083,-0.282992,30.371922,0.004370
0.305611,-0.251323,30.663707,0.004381
0.250753,-0.285730,29.908815,0.004553
0.262034,-0.320444,30.020267,0.004460
0.295360,-0.372056,30.242184,0.004686
0.175905,-0.199300,29.036508,0.004527
0.468069,-0.055540,30.185651,0.004459
0.287615,0.407330,30.530682,0.004402
0.127116,0.133331,30.514331,0.004491
0.462610,0.415255,30.809776,0.004445
0.357490,-0.165401,29.028773,0.005281
0.197523,-0.175353,30.552251,0.004379
0.434134,-0.356570,29.086403,0.004359
0.238046,-0.125354,30.340170,0.004604
0.189509,-0.468832,30.077250,0.004350
0.498213,0.477053,29.702258,0.004436
0.366395,-0.056527,29.897642,0.004434
0.438637,0.219279,29.364930,0.004404
0.222303,-0.390122,30.480491,0.004466
0.290695,0.298150,30.036501,0.004397
0.346651,-0.090787,29.589617,0.004362
0.472336,0.235573,29.650608,0.004578
0.407177,0.058787,30.436818,0.004433
0.205367,0.354464,29.864508,0.004617
0.487433,-0.020612,30.256575,0.004688
0.488507,0.209730,30.880705,0.004491
0.149018,-0.422490,29.132016,0.004571
0.407383,0.175217,29.444993,0.004399
0.479860,-0.411875,30.105902,0.004505
0.257477,-0.113693,30.453066,0.004375
0.279579,-0.220156,29.538678,0.004436
0.490196,-0.433716,30.607391,0.004393
0.419858,-0.213451,29.679872,0.004667
0.113063,0.474942,29.111575,0.004529
0.261072,0.172140,30.728597,0.004458
0.293359,-0.018202,29.543367,0.004394
0.262855,-0.460464,29.349652,0.004421
0.194340,-0.036069,29.520171,0.004440
0.190468,0.089597,30.211418,0.004387
0.112443,-0.414791,29.901501,0.004414
0.254990,0.239113,30.403195,0.004581
0.218467,0.210284,30.547538,0.004477
0.464539,0.182940,30.127087,0.004451
0.240194,-0.364479,29.386494,0.005177
0.331924,-0.084767,30.447423,0.004402
0.161459,-0.491655,29.405926,0.004507
0.226648,0.466395,30.280616,0.004730
0.300076,0.317373,30.419221,0.004460
0.286813,-0.397501,29.254041,0.004500
0.369037,0.413060,30.612201,0.004412
0.156941,0.009297,30.290506,0.004523
0.364544,-0.024163,30.826742,0.004679
0.327341,-0.160074,30.441273,0.004449
0.375807,-0.003835,30.234695,0.004449
0.385510,-0.040021,30.532936,0.004569
0.140333,0.480390,29.504522,0.004431
0.392173,0.265600,30.565785,0.004500
0.111396,-0.081981,29.388521,0.004402
0.397668,0.432315,30.622329,0.004419
0.291585,0.131345,29.680852,0.004370
0.317494,-0.319477,29.284869,0.004314
0.132717,-0.445252,29.394799,0.004435
0.169010,-0.173772,30.776612,0.004781
0.409602,0.302658,30.865557,0.004316
0.108989,0.430887,30.024210,0.004607
0.426595,-0.477592,29.354543,0.004491
0.122311,0.320191,30.699614,0.004612
0.345691,-0.315092,29.817436,0.004445
0.188257,0.322435,30.913641,0.004398
0.391869,-0.138642,30.952272,0.004382
0.403949,0.156656,29.070334,0.004401
0.268072,-0.482147,30.016839,0.004452
0.320654,-0.068977,29.646063,0.004577
0.251585,0.256070,29.784978,0.004445
0.478961,0.118833,29.913279,0.004402
0.460554,-0.378963,30.786841,0.004477
0.249866,0.438946,29.335393,0.004515
0.461231,0.347774,30.238187,0.004490
0.106758,0.356871,30.163568,0.004558
0.152120,-0.244292,29.296439,0.004437
0.255468,-0.306351,30.793288,0.004535
0.390135,-0.089727,30.058069,0.004447
0.220647,0.284250,29.172924,0.004571
0.202317,0.491665,30.374029,0.004302
0.245297,0.326602,29.512933,0.004674
0.131325,0.416526,29.561965,0.004411
0.259252,0.116925,30.177367,0.004371
0.450520,-0.231917,30.152588,0.004413
0.417768,-0.260081,30.013642,0.004366
0.214773,-0.209805,30.659059,0.004992
0.443974,-0.330571,29.183598,0.004472
0.338909,-0.474688,29.451004,0.004618
0.125141,0.350144,29.129990,0.004461
0.476469,-0.280506,29.220647,0.004429
0.493301,-0.049229,29.207633,0.004424
0.158077,0.367118,30.408353,0.004552
0.465335,0.202848,30.633544,0.004499
0.272764,0.169364,30.164014,0.004310
0.446418,0.051044,30.804870,0.004334
0.310853,0.461648,29.200152,0.004414
0.283771,0.120943,29.441592,0.004326
0.201037,-0.047383,29.986531,0.004450
0.100916,-0.107896,29.974440,0.004395
0.249579,-0.327173,30.449989,0.004521
0.224942,-0.077852,29.143481,0.004552
0.440039,-0.430498,30.782366,0.004401
0.151754,-0.380035,29.671608,0.004793
0.247205,0.386533,29.094492,0.004618
0.442801,-0.498768,30.911934,0.004488
0.159116,-0.399138,29.326811,0.004723
0.192624,-0.151842,29.358227,0.004715
0.184203,-0.337906,30.362228,0.004421
0.266729,0.291064,30.069174,0.004367
0.452036,0.146547,29.018884,0.004457
0.138513,-0.193897,29.918550,0.004823
0.134163,-0.000789,29.783960,0.004468
0.170453,0.361993,30.347815,0.004503
0.104736,-0.189225,29.100439,0.004493
0.167368,-0.197516,29.464533,0.004392
0.205962,-0.360107,30.727895,0.004547
0.305555,-0.297586,30.093946,0.004362
0.383368,-0.108541,29.428802,0.004391
0.156756,0.497653,29.251807,0.004385
0.163995,0.185499,29.124982,0.004677
0.155788,0.022007,29.952485,0.004404
0.150235,-0.464033,29.727619,0.004457
0.181119,-0.116672,30.011182,0.004554
0.433355,-0.268155,29.158388,0.004361
0.182031,-0.347342,30.899007,0.004407
0.351064,0.159753,30.523754,0.004642
