# overetch,offset,thickness,sensitivity 
0.324491,0.062215,29.918824,0.004460
0.304800,0.038229,30.215386,0.004455
0.332714,0.047046,30.064600,0.004490
0.319813,-0.091708,30.190506,0.004493
0.332943,-0.126629,29.664086,0.004470
0.252297,0.007863,30.209453,0.004394
0.330332,0.036345,29.737120,0.004433
0.233050,0.149848,30.179601,0.004518
0.339804,0.023478,29.615677,0.004432
0.389924,0.060283,30.061760,0.004663
0.345272,0.189639,29.787662,0.004633
0.333491,0.025205,30.221262,0.004506
0.375866,0.085578,30.016011,0.004625
0.318351,-0.025464,30.332045,0.004485
0.198624,0.145069,29.917810,0.004498
0.379723,-0.211537,29.622548,0.004687
0.299040,0.058636,30.108775,0.004442
0.275025,0.055251,29.765756,0.004364
0.264417,0.221371,30.333534,0.004681
0.344107,0.002873,29.631129,0.004440
0.367804,0.168553,29.988851,0.004688
0.350266,-0.087276,30.168135,0.004554
0.218362,0.149431,30.310846,0.004544
0.342153,0.081790,29.964326,0.004519
0.336761,0.114426,29.840947,0.004519
0.314706,0.126682,29.985934,0.004511
0.316765,0.195208,30.321774,0.004668
0.297699,0.042315,29.408408,0.004331
0.289784,0.054862,29.524226,0.004345
0.294856,0.071124,29.977498,0.004426
0.367508,-0.123372,30.158285,0.004626
0.320574,-0.059074,30.487104,0.004520
0.408943,-0.111538,29.747303,0.004699
0.364086,-0.117011,30.165408,0.004612
0.301885,-0.066130,29.855973,0.004401
0.177234,0.064883,30.315877,0.004478
0.350479,0.087820,30.088239,0.004563
0.351423,0.107459,29.813024,0.004543
0.333097,-0.133355,29.580675,0.004464
0.287493,-0.067587,29.904255,0.004390
0.263799,-0.033568,30.176556,0.004396
0.261034,-0.104111,29.803674,0.004380
0.333583,-0.232145,29.918221,0.004655
0.303508,0.002789,30.019300,0.004415
0.269192,-0.157944,30.167590,0.004497
0.310533,-0.055862,29.896631,0.004416
0.328465,0.042368,30.054073,0.004477
0.273695,-0.016086,30.058563,0.004384
0.311762,0.210323,29.858391,0.004621
0.290977,-0.202414,30.161845,0.004581
0.381600,-0.042548,29.793629,0.004574
0.314940,0.111417,29.910252,0.004483
0.287138,-0.122976,29.959060,0.004439
0.320800,0.125527,30.132622,0.004542
0.336273,0.315536,30.341659,0.004996
0.260217,0.161276,29.757570,0.004474
0.240990,0.081298,29.550092,0.004338
